method,activation_ratio,sense_active_count,comm_active_count,utility,delivery_ratio,packet_loss_rate,online_scheduling_time_s,simulation_runtime_s,unit_delivered_energy,low_power_protection_count,candidate_comm_relay_ratio,actual_forward_unique_satellite_count,actual_forward_participation_ratio,actual_downlink_unique_satellite_count,avg_actual_isl_send_count,max_actual_isl_send_count,avg_actual_isl_receive_count,max_actual_isl_receive_count,avg_actual_downlink_count,max_actual_downlink_count,avg_delivered_relay_hops,max_observed_relay_hops,dropped_ttl_mb,dropped_melt_mb,k,graph,scenario,normalized_utility_vs_full,speedup_vs_full
Top-K K=1,,2261,9245,160437.5,0.5243055555555556,0.4756944444444444,0.011388999875634909,0.04481830005533993,375.4477350993378,22,0.46225,60,0.003,8,0.6438356164383562,10,0.6438356164383562,10,0.1095890410958904,2,2.6216335540838855,4,3250.0,13875.0,1,Top-K,Stress,0.5976253298153034,3.722987065704608
Top-K K=2,,2261,9245,225533.33333333334,0.7370370370370372,0.262962962962963,0.011035499977879226,0.0435502000618726,267.0825188442211,21,0.46225,59,0.00295,11,0.6575342465753424,11,0.6575342465753424,11,0.1506849315068493,2,2.750942211055276,4,0.0,9466.666666666668,2,Top-K,Stress,0.8401055408970975,3.8422454182677357
Top-K K=3,,2261,9245,248200.0,0.8111111111111111,0.18888888888888888,0.011344300117343664,0.0429237000644207,242.6913184931507,18,0.46225,54,0.0027,13,0.6301369863013698,10,0.6301369863013698,10,0.1780821917808219,2,2.6475456621004563,4,0.0,6800.0,3,Top-K,Stress,0.9245382585751978,3.73765669011837
Top-K K=4,,2261,9245,248200.0,0.8111111111111111,0.18888888888888888,0.010466199368238449,0.041509300004690886,242.69116438356167,20,0.46225,54,0.0027,13,0.6164383561643836,10,0.6164383561643836,10,0.1780821917808219,2,2.5679223744292234,4,0.0,6800.0,4,Top-K,Stress,0.9245382585751978,4.051241308948677
Top-K K=6,,2261,9245,248200.0,0.8111111111111111,0.18888888888888888,0.010167500004172325,0.04098910000175238,242.69116438356167,21,0.46225,56,0.0028,13,0.6164383561643836,10,0.6164383561643836,10,0.1780821917808219,2,2.5679223744292234,4,0.0,6800.0,6,Top-K,Stress,0.9245382585751978,4.170258097949396
Top-K K=8,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.010853600571863353,0.042942099971696734,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,8,Top-K,Stress,1.0147757255936674,3.9066389948253555
Top-K K=10,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.011018400080502033,0.0425694000441581,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,10,Top-K,Stress,1.0147757255936674,3.8482083531648477
Top-K K=12,,2261,9245,272425.0,0.8902777777777777,0.10972222222222222,0.010219000396318734,0.040679799974896014,221.11043681747273,22,0.46225,56,0.0028,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.717108684347374,4,0.0,3950.0,12,Top-K,Stress,1.0147757255936674,4.149241372333699
Full Graph,,2261,9245,268458.3333333334,0.8773148148148149,0.12268518518518519,0.042401099228300154,0.0737817999906838,224.37750395778366,24,0.46225,58,0.0029,14,0.6301369863013698,10,0.6301369863013698,10,0.1917808219178082,2,2.386807387862797,4,1166.6666666666667,3250.0,Full Graph,Full Graph,Stress,1.0,1.0
